Project Cost,VAT,Payments Made,Percent Accomplished,Balance,Date/Period
505428.83,60651.46,650992.33,83.82,-84912.04,2026-03-19
519809.92,62377.19,669515.18,93.93,-87328.07,2026-03-20
494858.21,59382.98,637377.37,88.58,-83136.18,2026-03-21
477847.13,57341.66,615467.11,90.3,-80278.32,2026-03-22
516008.34,61921.0,664618.74,97.63,-86689.4,2026-03-23
495027.68,59403.32,637595.65,94.99,-83164.65,2026-03-24
516718.89,62006.27,665533.93,88.81,-86808.77,2026-03-25
505750.66,60690.08,651406.85,88.0,-84966.11,2026-03-26
498032.94,59763.95,641466.42,89.14,-83669.53,2026-03-27
505231.64,60627.8,650738.35,92.26,-84878.92,2026-03-28
529265.19,63511.82,681693.56,90.31,-88916.55,2026-03-29
531154.71,63738.56,684127.26,89.49,-89233.99,2026-03-30
501040.72,60124.89,645340.44,96.21,-84174.84,2026-03-31
502402.86,60288.34,647094.88,90.87,-84403.68,2026-04-01
516143.6,61937.23,664792.96,99.52,-86712.13,2026-04-02
487315.08,58477.81,627661.83,91.98,-81868.93,2026-04-03
504996.06,60599.53,650434.92,98.11,-84839.34,2026-04-04
499612.06,59953.45,643500.33,93.31,-83934.83,2026-04-05
504708.62,60565.03,650064.71,95.63,-84791.05,2026-04-06
487499.47,58499.94,627899.31,89.92,-81899.91,2026-04-07
476156.49,57138.78,613289.56,89.67,-79994.29,2026-04-08
468905.25,56268.63,603949.96,94.47,-78776.08,2026-04-09
483239.24,57988.71,622412.14,96.52,-81184.19,2026-04-10
493119.87,59174.38,635138.39,93.4,-82844.14,2026-04-11
495602.13,59472.26,638335.54,88.95,-83261.16,2026-04-12
529058.47,63487.02,681427.31,88.89,-88881.82,2026-04-13
516589.9,61990.79,665367.79,88.85,-86787.1,2026-04-14
485568.63,58268.24,625412.4,87.86,-81575.53,2026-04-15
505215.63,60625.88,650717.73,94.63,-84876.23,2026-04-16
493893.83,59267.26,636135.25,98.38,-82974.16,2026-04-17
495734.54,59488.15,638506.09,94.6,-83283.4,2026-04-18
502779.88,60333.59,647580.49,86.93,-84467.02,2026-04-19
509287.57,61114.51,655962.39,94.37,-85560.31,2026-04-20
494911.12,59389.33,637445.53,94.67,-83145.07,2026-04-21
515957.77,61914.93,664553.61,100.0,-86680.91,2026-04-22
482870.93,57944.51,621937.75,90.54,-81122.32,2026-04-23
500095.09,60011.41,644122.47,94.47,-84015.97,2026-04-24
538965.11,64675.81,694187.06,100.0,-90546.14,2026-04-25
503346.2,60401.54,648309.9,97.81,-84562.16,2026-04-26
521498.22,62579.79,671689.7,98.4,-87611.7,2026-04-27
501372.8,60164.74,645768.17,97.03,-84230.63,2026-04-28
508711.66,61045.4,655220.61,97.98,-85463.56,2026-04-29
499148.25,59897.79,642902.95,99.75,-83856.91,2026-04-30
497443.89,59693.27,640707.73,94.39,-83570.57,2026-05-01
488307.76,58596.93,628940.4,100.0,-82035.7,2026-05-02
506454.52,60774.54,652313.42,92.81,-85084.36,2026-05-03
487226.94,58467.23,627548.3,98.97,-81854.13,2026-05-04
509983.78,61198.05,656859.11,98.64,-85677.27,2026-05-05
516279.31,61953.52,664967.74,96.06,-86734.92,2026-05-06
505497.97,60659.76,651081.39,98.33,-84923.66,2026-05-07
495706.27,59484.75,638469.67,96.43,-83278.65,2026-05-08
506809.48,60817.14,652770.61,95.06,-85143.99,2026-05-09
495369.9,59444.39,638036.44,97.77,-83222.14,2026-05-10
514033.21,61683.98,662074.77,95.34,-86357.58,2026-05-11
472528.91,56703.47,608617.23,100.0,-79384.86,2026-05-12
494965.89,59395.91,637516.07,95.58,-83154.27,2026-05-13
470137.82,56416.54,605537.51,100.0,-78983.15,2026-05-14
477574.09,57308.89,615115.42,95.86,-80232.45,2026-05-15
